Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
Q96A56;TP53INP1;9606;P04637;TP53;9606;0.74;12851404 11511362 
Q9Y2I6;NINL;9606;P04637;TP53;9606;0.236;26638075 
Q9Y2D8;SSX2IP;9606;P04637;TP53;9606;0.236;26638075 
Q9Y2D8;SSX2IP;9606;Q96KQ4;PPP1R13B;9606;0.236;26638075 
Q9Y2I6;NINL;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q9Y2I6;NINL;9606;Q96KQ4;PPP1R13B;9606;0.236;26638075 
Q9Y2J4;AMOTL2;9606;Q13625;TP53BP2;9606;0.236;24255178 
Q8WWY3;PRPF31;9606;Q13625;TP53BP2;9606;0.454;25416956 
Q8TDY2;RB1CC1;9606;P04637;TP53;9606;0.376;20614030 21775823 
Q9Y4K3;TRAF6;9606;P04637;TP53;9606;0.454;27818144 
Q8WZ73;RFFL;9606;P04637;TP53;9606;0.376;17121812 18382127 
Q9NQC7;CYLD;9606;P04637;TP53;9606;0.702;27561390 
Q9NS56;TOPORS;9606;P04637;TP53;9606;0.888;16122737 17290218 17803295 15247280 11842245 
Q9NZI8;IGF2BP1;9606;P04637;TP53;9606;0.236;20308539 23443559 
Q9UBE8;NLK;9606;P04637;TP53;9606;0.702;24926618 
Q9UHR4;BAIAP2L1;9606;P04637;TP53;9606;0.702;21887275 
Q9UM07;PADI4;9606;P04637;TP53;9606;0.794;18505818 20190809 
Q9UNA4;POLI;9606;P04637;TP53;9606;0.309;27407148 
P46108;CRK;9606;P04637;TP53;9606;0.286;25814554 
P04731;MT1A;9606;P04637;TP53;9606;0.454;16442532 
P06493;CDK1;9606;P04637;TP53;9606;0.49;10884347 9467949 11327730 
P06703;S100A6;9606;P04637;TP53;9606;0.523;23796514 20591429 
P46736;BRCC3;9606;P04637;TP53;9606;0.376;14636569 
P46777;RPL5;9606;P04637;TP53;9606;0.623;22653443 23443559 15308643 23169665 
Q8VBU8;BANP;10090;P04637;TP53;9606;0.309;12494467 
Q13625;TP53BP2;9606;P46938;YAP1;10090;0.236;26496610 
Q96KQ4;PPP1R13B;9606;Q92805;GOLGA1;9606;0.236;unassigned1304 
P51587;BRCA2;9606;P04637;TP53;9606;0.523;9811893 14636569 
Q96ES7;CCDC101;9606;Q13625;TP53BP2;9606;0.236;26186194 28514442 
Q92890;UFD1L;9606;P04637;TP53;9606;0.332;21900206 
P18283;GPX2;9606;P04637;TP53;9606;0.332;21988832 
P08151;GLI1;9606;P04637;TP53;9606;0.236;25609649 
P08218;CELA2B;9606;P04637;TP53;9606;0.236;26186194 28514442 
P38936;CDKN1A;9606;P04637;TP53;9606;0.769;25241761 12897156 16616141 11896572 21900206 17371838 
P14625;HSP90B1;9606;P04637;TP53;9606;0.702;25637791 
Q8TES7;FBF1;9606;Q13625;TP53BP2;9606;0.236;26638075 
P0DMV9;HSPA1B {ECO:0000312|HGNC:HGNC:5233};9606;P04637;TP53;9606;0.654;23443559 25144556 8729618 7954368 25241761 
P0DMV8;HSPA1A;9606;P04637;TP53;9606;0.654;23443559 25144556 8729618 7954368 25241761 
